ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,9e607183-e147-43ce-acd3-320a8df2f40c,7/11/2026,8/27/2026
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,49f5d710-6ee6-4ca2-847b-f7301198cd8f,8/1/2026,8/31/2026
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,30a849e8-6073-436f-af2e-a0ef335215d0,8/29/2026,10/15/2026
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,cdd35a16-b9ea-4f6e-819e-1195f0e57d03,8/29/2026,10/15/2026
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,1e2db8a3-019e-4b2e-bff3-7a321f2e9c37,8/29/2026,10/15/2026
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,7111772d-321d-4c70-b40b-7149b5ef7c76,2/20/2017,3/18/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,cd8937cc-1bdb-49e5-8ada-1ee1e166923e,4/3/2017,5/13/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,549a4b6b-e725-4155-bca3-776aae6507fb,5/15/2017,6/24/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,11f9eccf-8d9b-434e-aba8-79045cb5b1f0,6/26/2017,8/5/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,4171f012-3bf4-4c44-8ca5-ff7e3a19e7fb,9/4/2017,10/15/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,d16bb74c-bf62-483f-a759-973d4f1cddc3,10/5/2017,11/25/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,64e65a66-f604-4dac-b128-d217d741c84d,11/27/2017,12/30/2017
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,2deebfd6-e340-4a7f-9911-e049aaf8c9da,2/19/2018,3/31/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,d61384fc-419a-4f03-bfdf-b45169002481,4/2/2018,5/12/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,54eb1de2-f0c1-42cc-86f9-71421d6dae5f,5/14/2018,6/23/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,acb36f66-827c-4282-9080-8534911e8b36,6/25/2018,8/4/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,6fd29065-1590-4d36-925e-f6855783d038,9/3/2018,10/15/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,787de0bb-a276-4cc4-9e61-0fcecd4bcd5d,10/8/2018,11/17/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,edf3f80d-58d6-4139-9231-a780fa2a10bf,11/19/2018,12/29/2018
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,a92719a7-b774-4c3d-a866-249e0864631f,2/18/2019,4/6/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,22fafc0a-4cfb-404b-b95b-0eb2f0f00442,4/7/2019,5/25/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,ba05a01c-0795-40bc-9330-14cdaca6d686,5/19/2019,6/29/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,e13e85f5-bf6e-4532-ba5d-d987d0e7330e,7/15/2019,8/31/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,2f024917-902b-4150-b9f6-c3b4376f612f,9/2/2019,10/19/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,b5cb86a8-98dd-4e69-845b-0c051b87414b,10/21/2019,11/30/2019
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,d6035544-3267-49d9-8a45-05d7ab681b53,12/2/2019,1/11/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,b8003420-f720-4a2c-9eb1-d5b7d373e87d,2/17/2020,4/4/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,82b517b3-d83f-48e1-aafc-35f947728526,4/6/2020,5/23/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,8cf5c982-1be9-4e22-97ea-79f9441db065,5/25/2020,7/4/2020
04171468-6712-4f88-9a38-6bcc02505bdc,Green Lawn Pkg,Package,08eaddd6-090d-41d2-8389-576e6d19eac0,7/13/2020,8/29/2020
